LocalId,GlobalId,Age,Gender,Region,CityCode,TotalSpent,TotalPur,FirstPur,LastPur,NovelPur,ChildPur,YouthPur,CookPur,DiyPur,RefPur,ArtPur,GeogPur,ProvCook,ProvAtlas,ProvArt,RelPur,ProvPur
82,649,24,0,NE,D,138,3,1342130400.0,22,2,1,0,0,0,0,0,0,0,0,0,0,No
83,650,67,0,SW,H,195,5,1358895600.0,12,3,0,0,0,0,1,0,0,0,0,0,0,No
84,658,28,0,SW,O,101,4,1343426400.0,16,2,0,0,2,0,0,0,0,0,0,0,0,No
85,687,53,1,SW,M,178,12,1252101600.0,26,4,1,1,2,0,0,2,2,1,0,1,6,No
86,706,58,0,NE,J,128,4,1359327600.0,10,2,1,0,0,0,0,0,0,0,0,0,0,No
87,708,37,1,SW,N,277,14,1195426800.0,30,3,2,0,1,1,2,2,3,0,0,0,5,Yes
89,721,53,0,SW,N,292,4,1294527600.0,32,2,0,0,0,1,0,1,0,0,0,1,2,No
90,723,65,0,SE,A,215,13,1305324000.0,2,5,0,0,0,0,1,3,2,0,0,0,5,Yes
92,759,21,1,SE,C,208,2,1390431600.0,4,1,0,0,0,0,0,0,0,0,0,0,0,No
93,761,58,0,SE,C,141,3,1373493600.0,10,2,0,0,0,0,0,0,0,0,0,0,0,No
94,764,44,1,NW,L,253,3,1394578800.0,2,2,0,0,0,0,0,0,0,0,0,0,0,No
95,775,60,0,SW,N,258,11,1305928800.0,14,6,0,0,4,0,1,0,0,0,0,0,0,No
96,795,18,0,SW,N,453,16,1183327200.0,14,4,1,1,3,1,3,0,3,1,1,0,5,No
97,800,50,0,NW,L,240,1,1368309600.0,12,0,0,0,0,0,0,0,0,0,0,0,0,No
98,803,60,1,SW,P,187,11,1321743600.0,10,4,0,1,1,0,0,1,2,0,0,0,3,Yes
99,808,41,1,SW,G,271,3,1353884400.0,10,1,1,0,0,0,0,0,0,0,0,0,0,No
100,844,50,0,NE,S,288,1,1342303200.0,22,0,0,0,1,0,0,0,0,0,0,0,0,No
101,850,63,1,NE,Q,194,14,1237244400.0,12,4,3,1,2,1,1,0,1,0,0,0,1,No
102,874,34,0,SW,N,274,16,1221343200.0,14,5,4,1,2,1,0,1,2,2,0,1,6,No
103,876,23,1,NW,L,176,11,1347400800.0,6,4,2,1,1,0,0,0,0,1,0,0,1,No
104,883,62,0,NE,K,182,12,1310594400.0,4,2,2,2,0,1,0,0,1,0,0,0,1,No
106,910,48,1,NE,K,95,2,1393801200.0,2,1,0,0,0,0,0,0,0,0,0,0,0,No
107,915,59,0,SW,M,308,2,1357599600.0,16,1,0,0,1,0,0,0,0,0,0,0,0,No
108,931,22,0,SW,P,166,2,1359068400.0,16,1,0,0,1,0,0,0,0,0,0,0,0,No
109,940,61,0,NE,Q,224,3,1316210400.0,28,1,0,0,0,1,0,1,0,0,0,1,2,No
110,942,57,1,SW,N,123,6,1316642400.0,14,2,1,0,1,0,0,1,0,0,0,0,1,No
111,950,15,0,SW,O,75,3,1362524400.0,14,2,0,1,0,0,0,0,0,0,0,0,0,No
113,966,50,0,NE,E,266,9,1322089200.0,2,3,1,1,0,0,0,1,1,0,0,0,2,No
114,985,24,0,SE,B,258,3,1369605600.0,12,2,0,0,0,0,0,0,0,0,0,0,0,No
115,999,33,0,SW,M,419,13,1273010400.0,14,5,1,1,4,1,0,0,1,0,0,0,1,No
116,1002,33,1,NE,I,196,3,1384124400.0,2,1,0,0,0,0,0,0,0,0,0,0,0,No
117,1010,58,0,NE,I,31,4,1383260400.0,6,3,0,0,0,0,0,0,0,0,0,0,0,No
118,1011,57,0,SE,R,284,2,1374703200.0,10,1,0,0,0,0,0,0,0,0,0,0,0,No
119,1012,44,0,NE,I,268,3,1352847600.0,14,1,1,0,0,0,0,1,0,0,0,0,1,No
120,1048,18,0,SW,P,189,3,1368050400.0,12,2,0,0,0,0,0,0,0,0,0,0,0,No
121,1054,49,1,SW,N,74,4,1305151200.0,32,2,0,0,1,0,0,0,1,0,0,0,1,No
122,1075,25,0,SW,H,145,5,1342476000.0,16,3,1,1,0,0,0,0,0,0,0,0,0,No
123,1076,22,1,SE,R,139,2,1311112800.0,30,0,0,0,1,0,1,0,0,0,1,0,1,No
124,1082,34,0,SE,A,252,4,1373061600.0,10,3,0,0,0,0,0,0,0,0,0,0,0,No
125,1087,44,0,SW,O,60,1,1310508000.0,34,0,0,0,0,0,1,0,0,0,0,0,0,No
126,1088,64,1,SW,N,98,4,1359241200.0,12,2,1,0,0,0,0,0,0,0,0,0,0,No
127,1093,58,0,NE,D,263,12,1247004000.0,12,4,1,1,3,0,0,1,1,0,0,0,2,No
128,1095,63,0,SW,N,312,1,1373839200.0,10,0,0,0,0,0,0,0,0,0,0,0,0,No
129,1101,29,0,SE,R,257,2,1395270000.0,2,1,0,0,0,0,0,0,0,0,0,0,0,No
130,1103,49,0,NW,L,205,2,1384038000.0,4,0,0,0,0,0,0,0,0,0,0,0,0,No
131,1119,32,0,SW,P,285,2,1342648800.0,22,1,0,0,1,0,0,0,0,0,0,0,0,No
133,1123,26,0,NE,D,363,13,1325890800.0,2,1,0,1,2,1,0,1,1,1,0,0,3,No
134,1131,39,0,SW,P,302,3,1373148000.0,10,2,0,0,0,0,0,0,0,0,0,0,0,No
135,1138,51,0,NE,F,51,3,1368741600.0,4,1,0,0,0,0,0,0,0,0,0,0,0,No
136,1141,35,0,SW,G,35,3,1342648800.0,18,1,1,0,1,0,0,0,0,1,0,0,1,No
137,1142,62,1,NE,I,150,13,1327186800.0,2,3,1,1,1,2,1,0,0,0,1,0,1,No
138,1149,32,0,SW,M,136,3,1383778800.0,6,2,0,0,0,0,0,0,0,0,0,0,0,No
139,1151,37,0,NE,K,244,3,1316383200.0,32,2,0,0,1,0,0,0,0,0,0,0,0,No
140,1160,64,0,SE,B,64,4,1316210400.0,32,3,0,0,0,0,0,0,1,0,0,0,1,No
142,1169,47,0,SW,N,265,2,1359241200.0,16,1,0,0,1,0,0,0,0,0,0,0,0,No
143,1170,54,1,SW,G,163,3,1362438000.0,14,2,0,0,0,0,0,0,0,0,0,0,0,No
144,1172,64,0,SW,P,216,3,1347141600.0,14,1,1,0,1,0,0,0,0,0,0,0,0,No
145,1185,57,0,SW,G,283,14,1278280800.0,14,5,1,2,3,0,2,0,1,2,1,0,4,No
146,1195,60,0,NE,K,294,3,1343080800.0,14,1,0,1,0,0,1,0,0,0,0,0,0,No
147,1222,54,0,NE,E,307,9,1243202400.0,36,4,1,0,2,0,0,0,2,1,0,0,3,No
148,1227,32,0,SE,B,131,4,1357599600.0,16,3,0,0,0,0,0,1,0,0,0,0,1,No
149,1230,58,0,SE,R,359,11,1273010400.0,18,2,1,0,3,2,0,2,1,0,0,0,3,No
150,1238,43,1,NE,F,101,6,1331334000.0,14,2,0,2,0,0,2,0,0,0,0,0,0,No
151,1248,66,0,SE,A,246,5,1352242800.0,18,4,0,0,0,1,0,0,0,0,0,0,0,No
152,1253,15,1,SW,H,285,3,1362610800.0,12,1,1,0,0,0,0,0,0,0,0,0,0,No
153,1261,26,0,NE,Q,157,2,1331420400.0,26,1,1,0,0,0,0,0,0,0,0,0,0,No
154,1263,65,0,SW,M,120,7,1337205600.0,8,2,0,0,0,2,0,0,0,0,0,0,0,No
155,1283,67,0,NE,F,217,5,1348005600.0,14,3,1,0,0,0,1,0,0,0,0,0,0,No
156,1300,39,0,SW,N,200,12,1322089200.0,4,3,2,2,1,0,2,0,0,0,0,0,0,No
157,1313,69,0,NE,K,100,8,1317160800.0,12,4,0,0,0,2,1,0,0,0,0,0,0,No
158,1319,31,0,SW,O,309,12,1294527600.0,4,1,1,1,2,2,0,0,1,1,0,0,2,No
159,1323,29,1,SE,R,354,17,1252101600.0,6,7,1,3,4,1,0,0,0,0,0,0,0,No
161,1333,59,0,NE,I,66,6,1346709600.0,12,4,0,0,1,0,0,0,0,0,0,0,0,No
162,1352,39,0,SE,A,169,6,1310508000.0,16,2,1,0,0,0,0,0,3,0,0,0,3,No
163,1353,36,0,NW,L,224,1,1388703600.0,4,0,0,0,0,0,0,0,0,0,0,0,0,No
164,1357,42,1,SE,R,222,4,1347400800.0,16,2,0,1,1,0,0,0,0,1,0,0,1,No
165,1364,22,0,SE,A,477,17,1220652000.0,20,5,2,1,5,0,0,1,3,1,0,0,5,No
166,1366,39,0,SW,O,143,2,1374962400.0,10,1,0,0,0,0,0,0,0,0,0,0,0,No
168,1392,39,0,SW,H,69,1,1394492400.0,2,0,0,0,0,0,0,0,0,0,0,0,0,No
169,1394,54,0,NE,Q,275,13,1237676400.0,8,3,1,1,1,2,1,2,0,1,1,2,6,No
170,1406,56,0,SW,M,54,3,1335909600.0,12,0,1,0,0,0,0,1,0,0,0,0,1,No
171,1411,67,1,SW,M,201,11,1257548400.0,34,5,3,1,0,0,1,0,1,0,0,0,1,No
172,1442,63,0,NW,L,149,3,1378677600.0,8,2,0,0,0,0,0,0,0,0,0,0,0,No
174,1474,18,1,SE,C,86,8,1294786800.0,14,3,1,0,0,0,2,2,0,0,0,0,2,Yes
175,1484,49,0,NE,F,151,5,1311199200.0,12,1,0,1,0,1,1,0,0,0,0,0,0,No
176,1486,46,0,NE,K,229,2,1367964000.0,8,0,0,0,0,0,0,0,0,0,0,0,0,No
177,1494,49,0,SW,O,227,13,1290207600.0,2,4,1,0,0,1,0,2,0,0,0,0,2,No
178,1496,64,0,NE,Q,246,3,1384902000.0,6,2,0,0,0,0,0,0,0,0,0,0,0,No
179,1505,20,0,SE,C,43,4,1357772400.0,10,2,1,0,0,0,0,0,0,0,0,0,0,No
180,1515,24,0,NE,E,158,4,1364166000.0,12,2,0,1,0,0,0,0,0,0,0,0,0,No
181,1518,55,1,SW,O,327,3,1337983200.0,16,1,0,0,0,1,0,0,1,0,0,0,1,No
182,1521,55,0,SE,C,164,5,1359068400.0,2,2,1,0,0,0,0,0,0,0,0,0,0,Yes
183,1526,64,1,SW,H,158,14,1253570400.0,6,5,1,1,1,1,1,0,3,0,0,0,3,Yes
186,1531,19,1,NE,D,39,2,1372802400.0,10,1,0,0,0,0,0,0,0,0,0,0,0,No
187,1543,48,0,SE,C,295,2,1362610800.0,6,0,0,0,1,0,0,0,0,0,0,0,0,No
188,1552,26,0,SE,R,178,5,1363561200.0,14,4,0,1,0,0,0,0,0,0,0,0,0,No
189,1554,30,0,NE,F,128,8,1273615200.0,32,3,1,0,1,0,0,0,3,0,0,0,3,No
190,1577,53,0,SW,G,311,11,1310335200.0,2,2,2,1,2,2,0,0,0,0,0,0,0,No
191,1610,69,1,SW,N,391,13,1274306400.0,8,4,1,1,2,1,3,0,0,0,0,0,0,No
192,1641,23,1,SW,P,88,2,1341266400.0,18,0,1,0,0,0,1,0,0,0,0,0,0,No
193,1652,40,0,SW,H,97,4,1372975200.0,2,2,0,0,0,0,0,0,0,0,0,0,0,No
194,1671,62,1,NE,S,250,17,1305669600.0,12,5,1,1,3,2,1,3,0,1,1,1,6,Yes
195,1672,32,0,NE,D,102,1,1394319600.0,2,0,0,0,0,0,0,0,0,0,0,0,0,No
196,1685,33,0,NE,I,273,5,1347746400.0,14,3,0,0,0,1,0,1,0,0,0,0,1,No
197,1690,53,0,SE,C,362,9,1289084400.0,14,4,1,0,2,0,1,0,1,1,1,0,3,No
198,1705,61,1,SE,A,271,2,1363993200.0,12,0,0,1,0,0,0,0,0,0,0,0,0,No
199,1740,57,1,NE,K,24,2,1379800800.0,8,1,0,0,0,0,0,0,0,0,0,0,0,No
200,1741,53,0,NE,J,280,3,1342216800.0,14,1,0,0,1,0,0,0,0,0,0,0,0,No
201,1748,48,0,SW,H,203,3,1352070000.0,18,2,0,0,1,0,0,0,0,0,0,0,0,No
202,1749,35,0,NE,Q,304,2,1353366000.0,16,0,1,0,0,1,0,0,0,0,0,0,0,No
203,1766,56,1,SE,R,164,6,1336341600.0,12,3,0,1,1,0,0,0,0,0,0,0,0,No
204,1784,32,0,SE,A,32,1,1367445600.0,12,0,0,0,0,0,0,0,0,0,0,0,0,No
205,1785,65,0,SW,N,178,4,1310335200.0,30,2,0,0,1,0,0,0,1,0,0,0,1,No
206,1788,68,0,SE,A,130,3,1369087200.0,12,2,0,0,0,0,0,0,0,0,0,0,0,Yes
207,1796,48,1,SW,M,177,12,1200783600.0,30,3,1,2,2,1,1,2,0,0,0,0,2,No
208,1799,33,0,NE,J,90,5,1362956400.0,10,3,0,1,0,0,0,0,0,0,0,0,0,No
209,1805,59,0,SW,N,292,4,1363042800.0,14,3,0,1,0,0,0,0,0,0,0,0,0,No
210,1813,28,0,NE,K,226,2,1393974000.0,2,1,0,0,0,0,0,0,0,0,0,0,0,No
211,1815,19,0,SW,O,73,4,1351810800.0,12,2,0,1,0,0,0,0,0,0,0,0,0,No
212,1817,65,1,SW,N,123,3,1373320800.0,4,1,0,0,0,0,0,0,0,0,0,0,0,No
213,1825,15,0,SE,C,432,14,1200178800.0,12,3,3,2,2,0,0,1,2,0,0,0,3,No
214,1837,64,0,SW,P,218,3,1342216800.0,22,2,0,0,0,1,0,0,0,0,0,0,0,No
217,1845,47,0,NE,E,246,13,1295823600.0,6,4,1,2,4,0,1,0,0,0,0,0,0,No
218,1846,47,1,NE,J,200,6,1337378400.0,8,3,0,1,0,0,0,0,1,0,0,0,1,No
219,1858,23,0,NE,E,220,8,1336600800.0,16,5,1,0,2,0,0,0,0,1,0,0,1,No
220,1878,52,1,SW,N,238,3,1336687200.0,24,2,0,0,0,0,0,1,0,0,0,0,1,No
221,1886,22,1,SW,N,152,15,1227826800.0,16,6,0,1,4,0,2,1,1,0,0,0,2,No
222,1889,50,0,SE,B,361,8,1306188000.0,6,2,1,0,2,0,0,1,1,1,0,1,4,Yes
223,1923,32,1,NE,J,60,6,1317074400.0,14,2,1,1,2,0,0,0,0,1,0,0,1,No
224,1941,30,1,SW,H,438,15,1200956400.0,12,4,4,0,2,4,0,0,0,1,0,0,1,No
225,1960,46,0,SW,P,58,3,1395702000.0,2,2,0,0,0,0,0,0,0,0,0,0,0,No
226,1962,16,1,NE,E,61,5,1347487200.0,10,2,2,0,0,0,0,0,0,0,0,0,0,No
227,1977,22,0,SW,P,194,4,1341784800.0,14,2,0,0,0,0,0,2,0,0,0,0,2,No
228,1984,69,0,NE,D,239,2,1379196000.0,8,1,0,0,0,0,0,0,0,0,0,0,0,No
229,2020,33,0,SW,G,68,2,1357686000.0,16,1,0,0,0,0,0,1,0,0,0,0,1,No
230,2046,39,0,NW,L,88,1,1357945200.0,16,0,0,0,0,1,0,0,0,0,0,0,0,No
231,2052,18,0,SE,C,300,3,1362265200.0,14,2,0,0,1,0,0,0,0,0,0,0,0,No
232,2062,15,1,NE,S,363,11,1289257200.0,14,4,1,2,1,1,1,0,1,0,0,0,1,No
233,2065,55,0,NE,J,234,4,1372802400.0,10,3,0,0,0,0,0,0,0,0,0,0,0,No
234,2068,59,0,NE,S,191,2,1383692400.0,6,1,0,0,0,0,0,0,0,0,0,0,0,No
235,2073,61,0,SE,R,178,5,1326150000.0,26,3,0,0,0,1,1,0,0,0,0,0,0,No
236,2074,23,0,SW,O,146,2,1372975200.0,10,1,0,0,0,0,0,0,0,0,0,0,0,No
237,2079,29,1,SW,G,374,15,1226703600.0,36,4,3,1,2,1,2,0,2,0,0,0,2,No
238,2081,53,1,SW,H,109,3,1346882400.0,14,1,0,0,1,0,1,0,0,0,0,0,0,No
239,2096,30,0,SE,B,120,4,1363647600.0,14,3,0,0,1,0,0,0,0,0,0,0,0,No
240,2099,31,0,NE,S,210,3,1358809200.0,16,2,1,0,0,0,0,0,0,0,0,0,0,No
242,2119,61,0,NE,D,260,3,1315173600.0,32,2,0,0,0,0,0,0,1,0,0,0,1,No
243,2121,57,0,SW,G,340,8,1321916400.0,12,2,2,1,1,0,0,0,1,0,0,0,1,No
244,2124,56,0,SW,H,441,16,1211580000.0,10,4,2,1,0,2,1,2,3,0,0,0,5,Yes
246,2172,63,1,NE,Q,34,4,1359241200.0,10,2,1,0,0,0,0,0,0,0,0,0,0,No
247,2183,64,0,NE,D,125,3,1316988000.0,32,2,0,0,0,0,0,0,1,0,0,0,1,No
248,2184,25,0,NE,D,329,6,1336773600.0,14,3,0,0,1,0,0,2,0,0,0,0,2,No
250,2198,62,0,SW,M,96,4,1326495600.0,26,2,0,0,0,0,1,0,1,0,0,0,1,No
252,2204,66,0,SE,R,364,11,1241820000.0,16,3,0,1,3,0,0,1,3,0,0,0,4,No
253,2213,63,1,SW,M,212,8,1300230000.0,16,3,1,0,1,2,0,0,1,1,0,0,2,Yes
254,2226,30,0,SW,O,124,4,1342389600.0,16,2,2,0,0,0,0,0,0,0,0,0,0,No
255,2227,27,0,SE,B,167,7,1315605600.0,18,2,1,0,1,3,0,0,0,0,0,0,0,No
257,2245,63,0,SW,H,318,4,1373234400.0,8,2,0,0,0,0,0,0,0,0,0,0,0,No
258,2253,39,0,NE,D,260,1,1368741600.0,12,0,0,0,0,0,0,0,0,0,0,0,0,No
259,2262,29,1,SW,M,148,5,1348437600.0,6,1,0,0,0,0,0,1,0,0,0,0,1,Yes
260,2263,57,1,NE,I,243,3,1390604400.0,4,2,0,0,0,0,0,0,0,0,0,0,0,No
261,2268,48,1,SW,H,40,4,1342648800.0,22,3,0,0,0,1,0,0,0,0,0,0,0,No
262,2294,55,0,SE,B,121,8,1316124000.0,12,3,1,0,0,1,0,0,0,0,0,0,0,No
263,2296,39,0,NE,S,384,10,1279317600.0,10,2,3,0,1,1,1,1,0,0,0,0,1,No
264,2299,61,0,NE,I,90,11,1300921200.0,10,6,0,0,2,0,0,0,1,1,0,0,2,No
265,2304,23,0,SE,C,107,8,1304200800.0,14,2,1,0,2,0,2,0,1,0,0,0,1,No
266,2313,63,0,SW,M,53,5,1363561200.0,12,3,0,0,1,0,0,0,0,0,0,0,0,No
267,2324,57,0,SE,R,232,2,1372629600.0,10,1,0,0,0,0,0,0,0,0,0,0,0,No
268,2339,20,1,SW,G,329,7,1306188000.0,16,2,2,0,1,1,0,1,0,0,0,0,1,No
269,2341,52,1,NE,S,90,5,1332025200.0,12,2,1,0,0,0,1,0,0,0,0,0,0,No
270,2342,35,0,SW,G,192,11,1263250800.0,34,5,0,0,3,2,0,1,0,0,0,0,1,No
271,2376,61,1,SE,A,419,16,1269298800.0,14,4,2,0,4,1,2,1,2,2,1,1,7,No
272,2377,47,0,NE,F,153,1,1372802400.0,10,0,0,0,0,0,0,0,0,0,0,0,0,No
273,2382,53,0,NE,I,305,11,1241560800.0,16,3,2,0,0,2,2,0,2,0,0,0,2,No
274,2383,33,0,NW,L,218,13,1273960800.0,14,5,1,0,3,1,0,1,2,0,0,0,3,No
275,2385,27,0,NW,L,33,3,1395529200.0,2,2,0,0,0,0,0,0,0,0,0,0,0,No
276,2392,48,1,SE,A,135,7,1331161200.0,16,3,0,0,2,0,1,0,1,0,0,0,1,No
277,2394,24,0,NE,E,320,2,1368741600.0,6,0,0,0,0,0,0,0,0,0,0,0,0,No
278,2431,63,0,SE,B,174,3,1342476000.0,16,1,0,0,0,0,1,0,1,0,0,0,1,Yes
279,2435,59,0,SW,P,285,12,1253484000.0,6,3,1,1,2,1,0,0,2,1,0,0,3,No
280,2471,39,1,NE,J,208,2,1379541600.0,4,0,0,0,0,0,0,0,0,0,0,0,0,No
281,2473,36,0,SW,P,45,5,1309816800.0,26,3,2,0,0,0,0,0,0,0,0,0,0,No
282,2475,55,1,SE,R,77,1,1379714400.0,8,0,0,0,0,0,0,0,0,0,0,0,0,No
283,2503,30,1,NE,K,90,4,1362092400.0,10,2,1,0,0,0,0,0,0,0,0,0,0,No
284,2505,52,0,NE,Q,297,10,1342476000.0,8,3,0,2,1,0,0,1,0,0,0,0,1,No
